date,balance,non-trade,cumm_pnl,daily_return,cumm_returns*
2020-09-03,213233.69,100000.0,113233.69,6.9892,80.89991
2020-09-04,220273.78,100000.0,120273.78,3.30158,84.20149
2020-09-05,220273.78,100000.0,120273.78,0.0,84.20149
2020-09-06,220273.78,100000.0,120273.78,0.0,84.20149
2020-09-07,222337.77,100000.0,122337.77,0.93701,85.13851
2020-09-08,225572.7,100000.0,125572.7,1.45496,86.59347
2020-09-09,225572.7,100000.0,125572.7,0.0,86.59347
2020-09-10,225572.7,100000.0,125572.7,0.0,86.59347
2020-09-11,225572.7,100000.0,125572.7,0.0,86.59347
2020-09-12,225572.7,100000.0,125572.7,0.0,86.59347
2020-09-13,225572.7,100000.0,125572.7,0.0,86.59347
2020-09-14,225572.7,100000.0,125572.7,0.0,86.59347
2020-09-15,228440.26,100000.0,128440.26,1.27124,87.8647
2020-09-16,228440.26,100000.0,128440.26,0.0,87.8647
2020-09-17,229877.85,100000.0,129877.85,0.62931,88.49401
2020-09-18,222237.75,100000.0,122237.75,-3.32355,85.17046
2020-09-19,222237.75,100000.0,122237.75,0.0,85.17046
2020-09-20,222237.75,100000.0,122237.75,0.0,85.17046
2020-09-21,221322.35,100000.0,121322.35,-0.4119,84.75856
2020-09-22,225113.34,100000.0,125113.34,1.71288,86.47144
2020-09-23,228996.64,100000.0,128996.64,1.72504,88.19649
2020-09-24,225887.92,100000.0,125887.92,-1.35754,86.83895
2020-09-25,225632.18,100000.0,125632.18,-0.11322,86.72573
2020-09-26,225632.18,100000.0,125632.18,0.0,86.72573
2020-09-27,225632.18,100000.0,125632.18,0.0,86.72573
2020-09-28,225632.18,100000.0,125632.18,0.0,86.72573
2020-09-29,227041.18,100000.0,127041.18,0.62447,87.3502
2020-09-30,227041.18,100000.0,127041.18,0.0,87.3502
2020-10-01,219125.85,100000.0,119125.85,-3.4863,83.8639
2020-10-02,221345.96,100000.0,121345.96,1.01317,84.87707
2020-10-03,221345.96,100000.0,121345.96,0.0,84.87707
2020-10-04,221345.96,100000.0,121345.96,0.0,84.87707
2020-10-05,217635.29,100000.0,117635.29,-1.67641,83.20066
2020-10-06,217495.05,100000.0,117495.05,-0.06444,83.13622
2020-10-07,217470.31,100000.0,117470.31,-0.01137,83.12484
2020-10-08,216073.81,100000.0,116073.81,-0.64216,82.48269
